"ALPL"	-702.749092029688	13.6870618118986	-196.635399514736	140.770243400311	253.803279489867	78.8743788010008	159.364080620719	101.57471128641
"ALPK1"	-1351.23634389182	-59.8916003219163	-339.176431429875	69.5314754405107	-0.667994771623236	198.253646712169	212.959174619164	28.3965048795717
"ALPK2"	-164.369110036832	-32.8521468566675	59.4767306135696	4.49268536324113	-5.9079237802115	-12.6018932980042	25.9671006913127	3.34072072627857
"ALPK3"	-481.136262997766	-8.67952754490388	-41.6308121657993	-18.0550474197091	-36.8235180966024	1.56244547083643	17.2948651729482	-54.6175428445525
"ALPPL2"	0.197495822523351	-0.0108882355283391	0.0750042261479677	0.0659422879192483	0.047200495502146	0.0634510625680075	0.0187343677629087	0.0718717703436188
"ALPP"	0.550372229643025	0.106258422189572	0.0862781626550086	0.110631777570091	0.248107060335307	0.245883888540221	-0.134623905352212	0.211707814552801
"ALS2CL"	-374.17126406828	-13.304653843288	-84.237735667947	-9.65480935317419	75.3601134551239	34.3707118930335	27.374340176973	-8.56261499265179
"ALS2CR11"	-13.7067053891766	0.180057766396916	-1.4678880069931	0.693127129764934	0.79029133578195	-0.257802232393732	-0.490230432597171	0.128572185336091
"ALS2CR12"	-9.63077796861639	0.648322891425073	-0.265530248359633	0.0060374635851	0.469527718963764	-0.375421124775074	-0.265410787915728	0.600266369806405
"ALS2CR4"	-1517.17307047326	-6.57684016314133	-291.047754422661	-0.82729707660665	-164.478552781097	-17.7404876788104	62.5762051383704	-83.1266410852461
"ALS2CR8"	-435.060911321179	26.3274570332766	-108.138623811103	-0.743195733940874	-69.4924956449857	55.1831635439963	-19.8580655836335	-39.7636664894091
"ALS2"	-1902.28298118726	30.8448363853626	-418.340627661855	43.2371428128867	-321.233140847333	91.5175591364536	-26.5049299585591	-106.190879952372
"ALX1"	-0.563494393558903	0.214944883229261	0.406246729701338	0.0205230977201769	-0.346605716321324	0.467067060212243	0.171887981653029	-0.0138079310411727
"ALX3"	-48.7289204227192	-0.406466439149187	-13.5225263564357	-0.223678157354281	-0.10096189829615	1.01018602390722	-1.79146490444603	-5.79039906461761
"ALX4"	-6.2989059192305	0.520827301597597	0.432464047955817	0.645215639862673	0.0874126042786149	-0.40162772061373	-0.0229459739227994	0.713833727021473
"AMAC1L2"	0.0538421167523421	0.157028184879974	0.357647899542754	-0.0188401843333613	-0.345920872701299	0.0576679532892767	-0.0780042044767654	0.0444603835570927
"AMAC1L3"	0.57669318507886	-0.251846994301164	0.244973023227615	-0.0368282601779786	0.0639342501462429	-0.232204938595277	0.118109854163437	0.15905122479935
"AMACR"	-1421.95303667437	41.3703274624891	-335.897007079156	-7.7600430847708	-115.449807455413	-42.4633751373103	3.71782845495077	-42.123676330144
"AMBN"	0.0680018276338778	-0.013453434937218	0.0279886689024595	0.00093334101776525	-0.0187907865432124	0.0335836298685158	-0.0321798632583265	-0.00308515075225625
"AMBP"	-162.870011144511	58.3986573866793	-102.203569230623	-56.4367351156091	17.5585315164505	-88.4674644833375	-4.7334593378636	-72.3686604045878
"AMBRA1"	-2922.33375007323	166.883500463761	-657.603236238183	-59.3515052509517	-120.03673635118	91.6052471456469	-114.930283797999	-201.097319924788
"AMD1"	-4368.16553978662	-89.7626432213554	-1413.90883126813	-8.70455943599723	-1304.41718523626	-921.8727128955	81.6846777534242	885.361605097
"AMDHD1"	-96.0376474234086	15.5542691250506	-38.6036889230263	0.50125832762594	-9.64673291502197	11.8794189954803	-32.3381101367714	-11.0644097991054
"AMDHD2"	-841.644259291445	20.7347386397746	-229.571477610332	-76.1551926483336	120.237925100617	-49.630191785952	-109.164630926682	-39.7882482183996
"AMELX"	0.311943000943303	0.0947041910419804	0.0643790656893928	-0.580565791735225	-0.320672342820052	0.23408460514047	0.322867744268839	-0.0417541397252096
"AMELY"	0	0	0	0	0	0	0	0
"AMFR"	-13737.1687354408	3129.5226705104	-4407.6291521865	-1123.21501324384	-768.094337976803	212.049366982819	-941.360485944013	-613.494719364926
"AMHR2"	-3.20532782707412	-0.411446386425473	-0.346108484664098	0.348208604220057	0.3690164114524	-0.261123329924595	-0.344173851403501	0.650683258219423
"AMH"	-50.7050009101707	0.346929220338693	-16.9641011553424	-4.68368060682926	19.6138780522613	-2.93222510224123	-5.47047766964929	0.0849081971392247
"AMICA1"	-356.409450229912	-33.0534108179993	-55.0258917501806	-9.4663814218179	131.617818218957	-88.5171213354488	199.058035212712	1.37673265027095
"AMIGO1"	-300.455592329241	38.104361754992	-110.229156100268	-2.86322285069498	-58.5578031020187	56.1633991212711	-31.8421948452967	-49.9091272618852
"AMIGO2"	-4891.27921007462	-599.767176569152	-944.80266050589	-933.92952885962	-2917.50808706285	-287.875397820194	-408.188779019013	-219.586412468683
"AMIGO3"	-323.581047869914	9.12065129718779	-116.806875195361	-23.5158750749971	61.4202822394737	11.5929682437201	34.0697408459717	-1.39385833283673
"AMMECR1L"	-2481.76408959958	109.89411351948	-512.951305246904	-72.7917070581286	-378.676113488685	0.907292333380241	-152.181458114592	-181.227431132355
"AMMECR1"	-1396.85999104098	-88.2211678481321	-268.039098360366	26.9363460961359	-104.97499229819	-27.1727484349636	180.895563627101	-84.6491423165721
"AMN1"	-734.442590884071	63.5476199506287	-255.432721205144	-2.90539621959101	-72.5269476927481	42.5040084914078	-94.7447256129918	-91.0141102473825
"AMOTL1"	-2190.37148898553	-150.480333586552	-3.32763103075619	187.144061146703	-261.253522857248	10.3880852262389	4.41379215115641	-180.553115517386
